word,tf,pmi,info_ent
闹天宫,0.000118870044365,6.9380774415,1.32168797181
金刚,0.000116952785585,5.52018119677,2.9166550323
包袱,0.000116952785585,8.15397881669,3.14904462241
雷公,0.000116952785585,5.45479843751,2.70694742968
西天取经,0.000116952785585,6.41702758396,1.26147219609
身一变变,0.000116952785585,5.86204036249,0.144300035459
厉声高,0.000115035526805,6.46685995771,0.230340951761
神通广,0.000115035526805,6.28115152438,0.253445857779
倒换,0.000113118268025,5.80965553884,0.799002078983
答应,0.000113118268025,6.77471476007,2.89486046539
音菩萨,0.000113118268025,5.1744792789,0.547933805698
摇身一变变,0.000113118268025,6.2836727606,0.914767061367
文武,0.000111201009245,6.44028444613,2.68470128091
路旁,0.000111201009245,5.0768254755,2.26788271457
现了本,0.000111201009245,6.64378986537,0.814807506157
